Client Management Services;Gestion des imprimantes (à l'échelle de l'entreprise);https://galenica.atlassian.net/servicedesk/customer/portal/40/group/44/create/91
Client Management Services;Public et privé Certificats SSL;https://galenica.atlassian.net/servicedesk/customer/portal/40/group/44/create/91
Client Management Services;Order the packaging of a Galenica authorized software for distribution to the computeers in the role of application owner;https://galenica.atlassian.net/servicedesk/customer/portal/40/group/44/create/317
Client Management Services;Activer un support de stockage USB pré-approuvé;https://galenica.atlassian.net/servicedesk/customer/portal/40/group/44/create/647
Collaboration & Communication & Corporate Tools Services;Microsoft M365, y compris les produits Office (Word, Excel, Powerpoint);https://galenica.atlassian.net/servicedesk/customer/portal/9/group/13/create/37
Collaboration & Communication & Corporate Tools Services;Microsoft Teams;https://galenica.atlassian.net/servicedesk/customer/portal/9/group/13/create/37
Collaboration & Communication & Corporate Tools Services;Microsoft SharePoint;https://galenica.atlassian.net/servicedesk/customer/portal/9/group/13/create/37
Collaboration & Communication & Corporate Tools Services;Corporate Tools;https://galenica.atlassian.net/servicedesk/customer/portal/9/group/13/create/37
Collaboration & Communication & Corporate Tools Services;Services vocaux;https://galenica.atlassian.net/servicedesk/customer/portal/9/group/13/create/37
Collaboration & Communication & Corporate Tools Services;Microsoft Exchange;https://galenica.atlassian.net/servicedesk/customer/portal/9/group/13/create/37
Collaboration & Communication & Corporate Tools Services;Commande de produits Adobe;https://galenica.atlassian.net/servicedesk/customer/portal/9/group/13/create/39
Collaboration & Communication & Corporate Tools Services;Demande d'image / vidéo Adobe Stock;https://galenica.atlassian.net/servicedesk/customer/portal/9/group/13/create/581
Company Integrationen Services;Extension ou de modification des entreprises du réseau Galenica qui ne sont pas totalement intégrées.;https://galenica.atlassian.net/servicedesk/customer/portal/38/group/43/create/88
CRM / Marketing Services;Bynder;https://galenica.atlassian.net/servicedesk/customer/portal/5/group/7/create/40
CRM / Marketing Services;D365 Marketing & Event;https://galenica.atlassian.net/servicedesk/customer/portal/5/group/7/create/40
CRM / Marketing Services;FlippingBook, OT_Medical;https://galenica.atlassian.net/servicedesk/customer/portal/5/group/7/create/40
CRM / Marketing Services;Pitcher;https://galenica.atlassian.net/servicedesk/customer/portal/5/group/7/create/40
CRM / Marketing Services;Veeva ComVault PromoMats;https://galenica.atlassian.net/servicedesk/customer/portal/5/group/7/create/40
CRM / Marketing Services;Demandes d'accès au CRM B2B (Espresso) pour des utilisateurs existants;https://galenica.atlassian.net/servicedesk/customer/portal/5/group/7/create/383
Ctrl-Alt-Elite Services;Outil d’aide en ligne Pharmacies;https://galenica.atlassian.net/servicedesk/customer/portal/16/group/26/create/48
Ctrl-Alt-Elite Services;TriaPharm Intranet (Annuaire des distributeurs, Annuaire des fournisseurs);https://galenica.atlassian.net/servicedesk/customer/portal/16/group/26/create/48
Customer Knights Services;BSI CRM (Customer Relationship Management);https://galenica.atlassian.net/servicedesk/customer/portal/28/group/31/create/73
Customer Knights Services;Auth0;https://galenica.atlassian.net/servicedesk/customer/portal/28/group/31/create/73
Customer Knights Services;Prescription Inbox;https://galenica.atlassian.net/servicedesk/customer/portal/28/group/31/create/73
Customer Knights Services;Customer Identification Access Management (CIAM);https://galenica.atlassian.net/servicedesk/customer/portal/28/group/31/create/73
Data & AI Platform Services;GCA Data Lake;https://galenica.atlassian.net/servicedesk/customer/portal/33/group/37/create/78
Data & AI Platform Services;GCA EDW (Enterprise Data Warehouse);https://galenica.atlassian.net/servicedesk/customer/portal/33/group/37/create/78
Data & AI Platform Services;GCA Data Streaming;https://galenica.atlassian.net/servicedesk/customer/portal/33/group/37/create/78
DevStack & App Integration Services;GaaS (Galenica as a Service);https://galenica.atlassian.net/servicedesk/customer/portal/24/group/24/create/55
DevStack & App Integration Services;APIs / API Management;https://galenica.atlassian.net/servicedesk/customer/portal/24/group/24/create/55
DevStack & App Integration Services;Event Hubs / Kafka;https://galenica.atlassian.net/servicedesk/customer/portal/24/group/24/create/55
DevStack & App Integration Services;DevHub;https://galenica.atlassian.net/servicedesk/customer/portal/24/group/24/create/55
DevStack & App Integration Services;DevStack / Technology Landscape;https://galenica.atlassian.net/servicedesk/customer/portal/24/group/24/create/55
DevStack & App Integration Services;DevTools;https://galenica.atlassian.net/servicedesk/customer/portal/24/group/24/create/55
DevStack & App Integration Services;Application Integration / Interfaces;https://galenica.atlassian.net/servicedesk/customer/portal/24/group/24/create/55
E2E (Physical Pharmacy) Services;TriaFin;https://galenica.atlassian.net/servicedesk/customer/portal/34/group/38/create/79
E2E (Physical Pharmacy) Services;TriaFact;https://galenica.atlassian.net/servicedesk/customer/portal/34/group/38/create/79
E2E (Physical Pharmacy) Services;TriaScan;https://galenica.atlassian.net/servicedesk/customer/portal/34/group/38/create/79
E2E (Physical Pharmacy) Services;TriaPharm Pricing;https://galenica.atlassian.net/servicedesk/customer/portal/34/group/38/create/79
E2E (Physical Pharmacy) Services;TriaPharm PharmIndex;https://galenica.atlassian.net/servicedesk/customer/portal/34/group/38/create/79
E2E (Physical Pharmacy) Services;TriaPharm Address Repository;https://galenica.atlassian.net/servicedesk/customer/portal/34/group/38/create/79
E2E (Physical Pharmacy) Services;Comptabilité;https://galenica.atlassian.net/servicedesk/customer/portal/34/group/38/create/79
E2E (Physical Pharmacy) Services;L'inventaire;https://galenica.atlassian.net/servicedesk/customer/portal/34/group/38/create/79
E2E (Physical Pharmacy) Services;Importation des données de PharmIndex;https://galenica.atlassian.net/servicedesk/customer/portal/34/group/38/create/79
E2E (Physical Pharmacy) Services;Catégorisation et tarification des articles;https://galenica.atlassian.net/servicedesk/customer/portal/34/group/38/create/79
E2E (Physical Pharmacy) Services;Numérisation des documents des patients;https://galenica.atlassian.net/servicedesk/customer/portal/34/group/38/create/79
E2E (Physical Pharmacy) Services;Synchronisation des adresses des clients entre les pharmacies et le BSI CRM;https://galenica.atlassian.net/servicedesk/customer/portal/34/group/38/create/79
Enterprise Content Management Services;Demandes concernant nos solutions ECM pour la numérisation, la gestion des documents et l'optimisation des processus.;https://galenica.atlassian.net/servicedesk/customer/portal/18/group/28/create/50
Foundation Services;Update Workload Subscription Information;https://galenica.atlassian.net/servicedesk/customer/portal/3/group/3/create/35
Foundation Services;Add Workload Owner;https://galenica.atlassian.net/servicedesk/customer/portal/3/group/3/create/35
Foundation Services;Add subnet;https://galenica.atlassian.net/servicedesk/customer/portal/3/group/3/create/35
Foundation Services;Delete subnet;https://galenica.atlassian.net/servicedesk/customer/portal/3/group/3/create/35
Foundation Services;Delete Workload subscription;https://galenica.atlassian.net/servicedesk/customer/portal/3/group/3/create/35
Foundation Services;Decommissioning VMs;https://galenica.atlassian.net/servicedesk/customer/portal/3/group/3/create/35
Foundation Services;Set an Azure resource public;https://galenica.atlassian.net/servicedesk/customer/portal/3/group/3/create/35
